batch,slot,color,position,status,episode_index,recorded_at,note
1,1,yellow,rear_left,recorded,0,2026-08-25T06:55:12+09:00,
1,2,red,front_left,recorded,1,2026-08-25T06:58:14+09:00,
1,3,red,rear_right,pending,,,
1,4,red,center,pending,,,
1,5,red,front_right,pending,,,
1,6,red,rear_left,pending,,,
1,7,yellow,front_left,pending,,,
1,8,yellow,center,pending,,,
1,9,yellow,front_right,pending,,,
1,10,yellow,rear_right,pending,,,
2,1,red,front_left,pending,,,
2,2,yellow,front_right,pending,,,
2,3,red,center,pending,,,
2,4,red,rear_right,pending,,,
2,5,yellow,rear_right,pending,,,
2,6,yellow,rear_left,pending,,,
2,7,red,rear_left,pending,,,
2,8,yellow,center,pending,,,
2,9,red,front_right,pending,,,
2,10,yellow,front_left,pending,,,
3,1,red,center,pending,,,
3,2,yellow,front_right,pending,,,
3,3,yellow,rear_right,pending,,,
3,4,red,rear_right,pending,,,
3,5,yellow,rear_left,pending,,,
3,6,yellow,center,pending,,,
3,7,red,front_left,pending,,,
3,8,yellow,front_left,pending,,,
3,9,red,front_right,pending,,,
3,10,red,rear_left,pending,,,
4,1,yellow,rear_right,pending,,,
4,2,red,rear_left,pending,,,
4,3,yellow,center,pending,,,
4,4,yellow,front_right,pending,,,
4,5,red,rear_right,pending,,,
4,6,yellow,front_left,pending,,,
4,7,yellow,rear_left,pending,,,
4,8,red,center,pending,,,
4,9,red,front_right,pending,,,
4,10,red,front_left,pending,,,
5,1,red,front_right,pending,,,
5,2,yellow,rear_right,pending,,,
5,3,red,front_left,pending,,,
5,4,yellow,front_right,pending,,,
5,5,red,rear_right,pending,,,
5,6,yellow,front_left,pending,,,
5,7,yellow,rear_left,pending,,,
5,8,red,rear_left,pending,,,
5,9,red,center,pending,,,
5,10,yellow,center,pending,,,
6,1,red,rear_left,pending,,,
6,2,yellow,front_right,pending,,,
6,3,red,front_right,pending,,,
6,4,yellow,rear_right,pending,,,
6,5,yellow,rear_left,pending,,,
6,6,red,center,pending,,,
6,7,red,front_left,pending,,,
6,8,yellow,center,pending,,,
6,9,red,rear_right,pending,,,
6,10,yellow,front_left,pending,,,
7,1,red,rear_right,pending,,,
7,2,red,front_right,pending,,,
7,3,yellow,rear_left,pending,,,
7,4,red,rear_left,pending,,,
7,5,yellow,front_left,pending,,,
7,6,red,center,pending,,,
7,7,yellow,front_right,pending,,,
7,8,red,front_left,pending,,,
7,9,yellow,center,pending,,,
7,10,yellow,rear_right,pending,,,
8,1,yellow,center,pending,,,
8,2,red,front_right,pending,,,
8,3,yellow,rear_right,pending,,,
8,4,red,rear_right,pending,,,
8,5,red,front_left,pending,,,
8,6,yellow,rear_left,pending,,,
8,7,yellow,front_left,pending,,,
8,8,yellow,front_right,pending,,,
8,9,red,rear_left,pending,,,
8,10,red,center,pending,,,
9,1,yellow,rear_right,pending,,,
9,2,yellow,rear_left,pending,,,
9,3,red,rear_left,pending,,,
9,4,yellow,front_left,pending,,,
9,5,red,front_left,pending,,,
9,6,red,rear_right,pending,,,
9,7,red,front_right,pending,,,
9,8,red,center,pending,,,
9,9,yellow,front_right,pending,,,
9,10,yellow,center,pending,,,
10,1,yellow,rear_right,pending,,,
10,2,yellow,front_right,pending,,,
10,3,red,front_right,pending,,,
10,4,red,center,pending,,,
10,5,red,rear_left,pending,,,
10,6,yellow,center,pending,,,
10,7,yellow,rear_left,pending,,,
10,8,red,front_left,pending,,,
10,9,red,rear_right,pending,,,
10,10,yellow,front_left,pending,,,
