trial,set,slot,color,position,expected_episode_index,result,fail_stage,note
1,1,1,yellow,front_right,4,O,,
2,1,2,yellow,rear_right,5,O,,
3,1,3,red,front_left,6,X,파지,거리가 멂
4,1,4,red,front_right,7,O,,거리가 멀어 파지가 불안정
5,1,5,red,center,8,O,,"첫번째 파지 실패, 두번째 파지 성공"
6,1,6,yellow,rear_left,9,O,,
7,1,7,red,rear_left,10,O,,
8,1,8,red,rear_right,11,O,,
9,1,9,yellow,center,12,O,,
10,1,10,yellow,front_left,13,O,,
11,2,1,red,front_right,14,X,뚜껑 닫기,"첫번째 파지 실패, 두번째 파지 성공"
12,2,2,red,rear_right,15,O,,
13,2,3,red,rear_left,16,O,,
14,2,4,yellow,rear_left,17,O,,
15,2,5,yellow,rear_right,18,O,,
16,2,6,red,front_left,19,X,파지,
17,2,7,yellow,center,20,O,,
18,2,8,yellow,front_left,21,O,,
19,2,9,yellow,front_right,22,O,,
20,2,10,red,center,23,O,,
21,3,1,red,rear_right,24,O,,
22,3,2,red,front_left,25,O,,
23,3,3,red,center,26,O,,
24,3,4,yellow,front_left,27,O,,
25,3,5,yellow,rear_right,28,O,,
26,3,6,red,rear_left,29,O,,
27,3,7,yellow,rear_left,30,O,,
28,3,8,yellow,front_right,31,X,파지,
29,3,9,red,front_right,32,O,,
30,3,10,yellow,center,33,O,,
